72789 73007 95324 190881 208676 
the 4099 4467 6642 9867 6306 
of 1896 2115 2656 6566 5098 
to 2257 2400 2946 5845 3528 
in 1729 1529 2169 3771 3742 
said 1494 1397 1866 4799 2770 
and 1461 1541 1685 4217 3184 
a 1426 1128 1755 4351 3109 
mln 690 740 536 1512 7616 
it 939 517 993 5105 2766 
vs 0 30 0 0 9198 
dlr 538 281 293 2101 4541 
for 701 1005 760 2304 1785 
ct 73 20 3 57 5679 
net 28 11 23 80 4278 
loss 21 20 17 70 4069 
on 528 431 770 1185 1110 
share 56 23 11 2189 1708 
year 290 374 233 323 2558 
from 498 442 454 823 1542 
pct 392 336 631 1337 969 
is 452 474 585 1356 629 
that 572 473 745 1119 514 
shr 0 0 0 22 3294 
be 379 523 462 1201 646 
by 457 377 537 1108 651 
compani 255 30 24 1645 1128 
at 452 457 757 842 551 
will 384 326 373 1050 815 
inc 60 19 21 1379 1264 
with 325 304 490 1116 501 
profit 24 14 18 104 2506 
ha 255 289 345 1254 356 
bank 82 5 1271 588 528 
wa 440 300 520 749 440 
he 439 263 627 603 425 
oper 84 39 68 336 1692 
an 303 282 294 888 417 
u.s. 296 650 565 399 203 
corp 95 18 11 1076 898 
would 323 316 373 788 296 
as 333 261 428 632 411 
not 238 290 399 765 363 
billion 164 82 462 218 1121 
sale 51 135 51 611 1143 
1986 134 93 60 218 1448 
or 103 138 132 666 812 
oil 1427 39 20 118 161 
market 159 279 820 296 206 
stock 131 58 57 809 676 
which 198 173 232 680 381 
rev 0 0 0 3 1638 
qtr 4 0 0 1 1629 
price 584 332 110 341 192 
offer 39 175 65 1181 83 
but 255 220 416 350 280 
had 185 121 331 552 299 
about 194 110 204 580 358 
thi 205 301 389 247 300 
have 206 275 295 451 201 
one 167 118 227 352 510 
last 261 227 243 267 354 
also 167 127 203 495 351 
are 195 260 279 380 227 
were 251 231 236 338 276 
group 46 29 48 787 369 
expect 111 112 227 266 541 
includ 54 57 52 239 778 
per 133 142 26 281 582 
new 136 110 187 439 288 
report 194 206 112 152 494 
co 63 17 21 562 476 
april 48 95 79 147 770 
march 105 96 118 253 553 
two 104 128 164 316 411 
unit 98 56 80 618 249 
rate 47 56 806 37 149 
dollar 17 4 891 18 87 
up 188 133 169 284 233 
quarter 53 8 31 53 862 
they 152 184 300 297 73 
product 323 192 25 233 231 
industri 165 55 138 358 287 
trade 81 208 451 150 107 
exchang 28 53 490 317 105 
dividend 1 0 0 33 948 
31 13 23 24 89 833 
record 9 57 59 38 818 
first 74 50 78 263 499 
tonn 24 917 0 6 13 
end 86 66 79 168 558 
earn 17 4 11 95 817 
may 68 151 89 210 414 
been 139 156 187 294 149 
increas 138 112 77 152 444 
1987 69 127 38 89 571 
buy 29 84 114 605 43 
more 110 174 168 266 143 
ltd 43 2 12 427 373 
agreement 53 93 188 461 55 
other 97 93 147 333 176 
than 112 178 139 204 196 
note: 0 0 0 0 826 
interest 52 27 193 342 210 
total 95 161 92 253 207 
1985 55 57 54 44 586 
after 135 34 165 177 281 
offici 174 216 244 128 29 
plan 85 71 49 383 202 
result 37 56 43 109 540 
month 127 113 157 113 271 
stg 16 21 464 77 203 
acquir 12 0 1 706 59 
wheat 1 773 1 0 0 
say 139 68 254 222 76 
4th 0 0 0 0 755 
sharehold 3 2 1 519 228 
current 71 94 164 161 259 
export 159 442 105 10 27 
10 51 64 68 135 425 
acquisit 9 1 0 601 131 
invest 47 15 51 385 238 
common 6 6 17 492 215 
board 9 57 41 419 199 
gain 28 10 33 59 593 
intern 60 36 118 319 186 
sell 44 28 69 527 51 
if 99 131 173 219 83 
set 41 49 151 95 369 
propos 66 95 62 398 77 
