0.06203559702782098 0.07395887333678935 0.0924485916709867 0.279419388284085 0.492137549680318 
the 0.04432021859293333 0.046596596596596596 0.055173357307587066 0.042961038961038964 0.025181016730406066 
of 0.02355138312673126 0.026063563563563565 0.025143650080131336 0.03303896103896104 0.02377179080824089 
to 0.02688542671997794 0.028265765765765765 0.027645311339561426 0.02726233766233766 0.015956992512597627 
said 0.018600453730744645 0.017367367367367367 0.01815658835945745 0.024737662337662336 0.013129050931417672 
in 0.019878921574771568 0.017404904904904903 0.019729898760895908 0.017345454545454546 0.01630811277603272 
and 0.018036423799556296 0.019106606606606607 0.015821053043036392 0.02143896103896104 0.014509807643034058 
a 0.016707819961645963 0.013200700700700702 0.016378063557831373 0.021423376623376622 0.014130218169050171 
mln 0.007996691024403695 0.00910910910910911 0.004563577375600985 0.007522077922077922 0.03569090029133492 
vs 1.2533998470852187e-05 0.00033783783783783786 9.77211429464879e-06 5.194805194805194e-06 0.04296003871812635 
dlrs 0.005402153340937292 0.0031406406406406405 0.001905562287456514 0.009101298701298702 0.01924993119940784 
for 0.008284972989233296 0.01144894894894895 0.007065238635031075 0.010768831168831169 0.007942909743112823 
cts 0.0006392339220134615 0.00026276276276276277 3.908845717859516e-05 0.0001974025974025974 0.025190506467255663 
it 0.004637579434215309 0.0036911911911911913 0.004895829261619044 0.013828571428571428 0.005518281978040749 
The 0.0070691751375606335 0.009259259259259259 0.009645076808818357 0.008285714285714285 0.004702164608975393 
its 0.005615231314941779 0.0017767767767767767 0.0035961380604307546 0.009797402597402598 0.00608292132059178 
on 0.006166727247659276 0.0050175175175175175 0.00702615017785248 0.0055532467532467536 0.004920428556516128 
from 0.006129125252246719 0.00533033033033033 0.004407223546886605 0.004062337662337662 0.007084088558224281 
pct 0.004825589411278092 0.004154154154154154 0.006048938748387601 0.0063948051948051945 0.004441196845611471 
is 0.00567790130729604 0.005918418418418419 0.005589649376539108 0.00695064935064935 0.0029797773707735085 
loss 0.00015040798165022625 0.0001001001001001001 5.863268576789274e-05 0.00024935064935064933 0.016037655275819202 
that 0.007131845129914894 0.005805805805805806 0.007094554977915022 0.005735064935064935 0.0024009034229480817 
by 0.005464823333291553 0.004466966966966967 0.005149904233279912 0.005636363636363636 0.0029228389496759257 
be 0.004286627477031448 0.005843343343343343 0.004104288003752492 0.005615584415584416 0.002884880002277537 
at 0.005352017347053884 0.005255255255255256 0.006850252120548802 0.004161038961038961 0.0024815661861696575 
will 0.004737851421982127 0.004004004004004004 0.0034104678888324277 0.005272727272727273 0.0038291088188124544 
with 0.003985811513730995 0.003641141141141141 0.00468084274713677 0.005449350649350649 0.002348709870275297 
company 0.0018550317736861237 0.00016266266266266267 6.840480006254153e-05 0.006976623376623377 0.0046831851352761985 
year 0.0029204216437085594 0.0036161161161161162 0.0019153344017511628 0.0012831168831168832 0.007136282110897065 
was 0.00550242532870411 0.0037662662662662663 0.005071727318922722 0.00387012987012987 0.002092486975336174 
has 0.003158567614654751 0.003465965965965966 0.00331274674588594 0.006187012987012987 0.001627489869705913 
U.S. 0.0037225975458430993 0.008145645645645646 0.005531016690771215 0.002077922077922078 0.0009679531586589104 
profit 8.77379892959653e-05 3.7537537537537536e-05 3.908845717859516e-05 0.00021298701298701298 0.00972698027083709 
would 0.004035947507614404 0.003941441441441441 0.003576593831841457 0.004093506493506494 0.0014092259221651783 
an 0.0035972575611345776 0.0031656656656656656 0.002785052573974905 0.004431168831168831 0.0019311614488930222 
Net 5.0135993883408747e-05 2.5025025025025026e-05 2.931634288394637e-05 1.5584415584415583e-05 0.009717490533987492 
