2.78004691308556 2.604246105992042 2.3811025546778324 1.275041441996732 0.7089970290419724 
the 3.005441087680952 2.9220442944524594 2.7635346101653466 3.013395581781574 3.54584873766267 
of 3.776154370438337 3.669457661663361 3.679900612070774 3.4206356732398486 3.7584644232711657 
to 3.601948595663744 3.5430998584202977 3.5763105750928927 3.53693511375963 4.126494320651052 
in 3.868306652881526 3.9937174402550695 3.882371111296082 3.975087415677473 4.067621436421892 
said 4.014301854548564 4.0839425318477955 4.032765414288865 3.734076862534839 4.368300599463343 
and 4.036622700063627 3.985904900518276 4.1347394192687865 3.863331698392101 4.229056576320057 
a 4.060853722896515 4.2976528904918885 4.094059783635526 3.8320572708950427 4.252886139153041 
mln 4.786043516605681 4.718739829345464 5.278855463321723 4.888598345642465 3.3571262739535332 
it 4.478303465109302 5.0767652123820675 4.663116351174014 3.672276461629392 4.369745164539395 
vs 11.32418334037335 7.892753250156405 11.564853557830588 12.21044805943082 3.1684140828491643 
dlr 5.034467769464354 5.684833383703437 5.881273790491906 4.559803507993925 3.8741414216608177 
for 4.77024993634754 4.4130031039818665 4.930220199968902 4.4676121040000725 4.807530382889877 
ct 7.020118247169181 8.282218016918128 10.178559196710697 8.150005048884402 3.6505576326111244 
net 7.956887510386877 8.84183380485355 8.386799727482641 7.815998904758382 3.9337895279095045 
loss 8.233140887015034 8.282218016918128 8.674481799934423 7.947768182389506 3.9838658658896806 
on 5.053194908515052 5.25831486639744 4.917165184267258 5.13210647987315 5.282248354686692 
share 7.281132072538801 8.148686624293605 9.079946908042587 4.518791236620275 4.85160046121073 
year 5.650860073201859 5.39981442867114 6.1095324424728865 6.429704543638492 4.447892308166533 
from 5.111577244621833 5.233170684596415 5.444556138879637 5.4962775295213495 4.95378029196316 
pct 5.35037372850409 5.5066575242891895 5.1159641636837305 5.011516818742647 5.417968072828893 
is 5.208291214890317 5.16342565060691 5.191533768253575 4.997416399595952 5.8495443249407435 
that 4.9732976236586115 5.165533132946474 4.950127957626827 5.189364095141681 6.051097243662586 
shr 11.32418334037335 11.32674045464155 11.564853557830588 9.074953843501671 4.195102697389713 
